Area,Year,Crop,Measurement,Unit,Value
Saskatchewan,1941,Flaxseed,Number of farms reporting,Number,4596
Saskatchewan,1941,Flaxseed,Hectares,Hectares,278790
Saskatchewan,1941,Potatoes,Number of farms reporting,Number,90495
Saskatchewan,1941,Potatoes,Hectares,Hectares,14550
Saskatchewan,1941,Total tree fruits,Number of farms reporting,Number,230
Saskatchewan,1941,Total tree fruits,Hectares,Hectares,131
Saskatchewan,1941,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,340
Alberta,1941,Total wheat,Hectares,Hectares,2653054
Alberta,1941,Oats,Number of farms reporting,Number,68933
Alberta,1941,Oats,Hectares,Hectares,1156010
Alberta,1941,Barley,Number of farms reporting,Number,42555
Alberta,1941,Barley,Hectares,Hectares,639018
Alberta,1941,Corn for grain,Number of farms reporting,Number,103
Alberta,1941,Corn for grain,Hectares,Hectares,1314
Alberta,1941,Flaxseed,Number of farms reporting,Number,1272
Alberta,1941,Flaxseed,Hectares,Hectares,53837
Alberta,1941,Potatoes,Number of farms reporting,Number,63206
Alberta,1941,Potatoes,Hectares,Hectares,9931
Alberta,1941,Total tree fruits,Number of farms reporting,Number,126
Alberta,1941,Total tree fruits,Hectares,Hectares,91
Alberta,1941,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,1867
British Columbia,1941,Total wheat,Hectares,Hectares,34542
British Columbia,1941,Oats,Number of farms reporting,Number,5777
British Columbia,1941,Oats,Hectares,Hectares,37957
British Columbia,1941,Barley,Number of farms reporting,Number,1790
British Columbia,1941,Barley,Hectares,Hectares,7293
British Columbia,1941,Corn for grain,Number of farms reporting,Number,115
British Columbia,1941,Corn for grain,Hectares,Hectares,122
British Columbia,1941,Flaxseed,Number of farms reporting,Number,73
British Columbia,1941,Flaxseed,Hectares,Hectares,1095
British Columbia,1941,Potatoes,Number of farms reporting,Number,16459
British Columbia,1941,Potatoes,Hectares,Hectares,6388
British Columbia,1941,Total tree fruits,Number of farms reporting,Number,5342
British Columbia,1941,Total tree fruits,Hectares,Hectares,14083
British Columbia,1941,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,4422
Canada,1951,Total wheat,Hectares,Hectares,10220330
Canada,1951,Oats,Hectares,Hectares,5055126
Canada,1951,Barley,Number of farms reporting,Number,174146
Canada,1951,Barley,Hectares,Hectares,3172617
Canada,1951,Corn for grain,Hectares,Hectares,129093
Canada,1951,Flaxseed,Number of farms reporting,Number,29308
Canada,1951,Flaxseed,Hectares,Hectares,470007
Canada,1951,Potatoes,Number of farms reporting,Number,366114
Canada,1951,Potatoes,Hectares,Hectares,116372
Canada,1951,Total tree fruits,Hectares,Hectares,71344
Canada,1951,Total vegetables (excluding greenhouse vegetables),Number of farms reporting,Number,33817
Canada,1951,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,72542
Newfoundland and Labrador,1951,Total wheat,Number of farms reporting,Number,0
Newfoundland and Labrador,1951,Total wheat,Hectares,Hectares,0
Newfoundland and Labrador,1951,Oats,Hectares,Hectares,112
Newfoundland and Labrador,1951,Barley,Number of farms reporting,Number,0
Newfoundland and Labrador,1951,Barley,Hectares,Hectares,0
Newfoundland and Labrador,1951,Corn for grain,Number of farms reporting,Number,0
Newfoundland and Labrador,1951,Corn for grain,Hectares,Hectares,0
Newfoundland and Labrador,1951,Flaxseed,Number of farms reporting,Number,0
Newfoundland and Labrador,1951,Flaxseed,Hectares,Hectares,0
Newfoundland and Labrador,1951,Potatoes,Number of farms reporting,Number,3224
Newfoundland and Labrador,1951,Potatoes,Hectares,Hectares,1014
Newfoundland and Labrador,1951,Total tree fruits,Hectares,Hectares,5
Newfoundland and Labrador,1951,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,344
Prince Edward Island,1951,Total wheat,Hectares,Hectares,1913
Prince Edward Island,1951,Oats,Hectares,Hectares,40976
Prince Edward Island,1951,Barley,Number of farms reporting,Number,910
Prince Edward Island,1951,Barley,Hectares,Hectares,1644
Prince Edward Island,1951,Corn for grain,Hectares,Hectares,19
Prince Edward Island,1951,Flaxseed,Number of farms reporting,Number,6
Prince Edward Island,1951,Flaxseed,Hectares,Hectares,3
Prince Edward Island,1951,Potatoes,Number of farms reporting,Number,8297
Prince Edward Island,1951,Potatoes,Hectares,Hectares,11982
Prince Edward Island,1951,Total tree fruits,Hectares,Hectares,123
Prince Edward Island,1951,Total vegetables (excluding greenhouse vegetables),Number of farms reporting,Number,504
Prince Edward Island,1951,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,172
Nova Scotia,1951,Total wheat,Hectares,Hectares,505
Nova Scotia,1951,Oats,Hectares,Hectares,28791
Nova Scotia,1951,Barley,Number of farms reporting,Number,1616
Nova Scotia,1951,Barley,Hectares,Hectares,1794
Nova Scotia,1951,Corn for grain,Hectares,Hectares,8
Nova Scotia,1951,Flaxseed,Number of farms reporting,Number,0
Nova Scotia,1951,Flaxseed,Hectares,Hectares,0
Nova Scotia,1951,Potatoes,Number of farms reporting,Number,18604
Nova Scotia,1951,Potatoes,Hectares,Hectares,4585
Nova Scotia,1951,Total tree fruits,Hectares,Hectares,8518
Nova Scotia,1951,Total vegetables (excluding greenhouse vegetables),Number of farms reporting,Number,1805
Nova Scotia,1951,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,1157
